paperID,1994,1995,1996,1997,1998,1999,2000,2001,2002
119407003,0,0,0,0,0,0,0,0,0
119407006,0,0,0,0,0,0,0,0,0
119407007,0,0,0,0,0,0,0,0,0
119407008,0,0,0,0,0,0,0,0,0
119407010,0,0,0,0,0,0,0,0,0
119407013,0,0,0,0,0,0,0,0,0
119407014,0,0,0,0,0,0,0,0,0
119407017,0,0,0,0,0,0,0,0,0
119407021,0,0,0,0,0,0,0,0,0
119407025,0,0,0,0,0,0,0,0,0
119407027,0,0,0,0,0,0,0,0,0
119407029,0,0,0,0,0,0,0,0,0
119407033,0,0,0,0,0,0,0,0,0
119407034,0,0,0,0,0,0,0,0,0
119407036,0,0,0,0,0,0,0,0,0
119407039,0,0,0,0,0,0,0,0,0
119407040,0,0,0,0,0,0,0,0,0
119407044,0,0,0,0,0,0,0,0,0
119407056,0,0,0,0,0,0,0,0,0
119407062,0,0,0,0,0,0,0,0,0
119407078,0,0,0,0,0,0,0,0,0
119407085,0,0,0,0,0,0,0,0,0
119407087,0,0,0,0,0,0,0,0,0
119407123,0,0,0,0,0,0,0,0,0
119407125,0,0,0,0,0,0,0,0,0
119407143,0,0,0,0,0,0,0,0,0
119407162,0,0,0,0,0,0,0,0,0
119407168,0,0,0,0,0,0,0,0,0
119407185,0,0,0,0,0,0,0,0,0
119408002,0,0,0,0,0,0,0,0,0
119408004,0,0,0,0,0,0,0,0,0
119408005,0,0,0,0,0,0,0,0,0
119408006,0,0,0,0,0,0,0,0,0
119408007,0,0,0,0,0,0,0,0,0
119408010,0,0,0,0,0,0,0,0,0
119408012,0,0,0,0,0,0,0,0,0
119408013,0,0,0,0,0,0,0,0,0
119408016,0,0,0,0,0,0,0,0,0
119408022,0,0,0,0,0,0,0,0,0
119408023,0,0,0,0,0,0,0,0,0
119408027,0,0,0,0,0,0,0,0,0
119408029,0,0,0,0,0,0,0,0,0
119408034,0,0,0,0,0,0,0,0,0
119408035,0,0,0,0,0,0,0,0,0
119408043,0,0,0,0,0,0,0,0,0
119408044,0,0,0,0,0,0,0,0,0
119408055,0,0,0,0,0,0,0,0,0
119408066,0,0,0,0,0,0,0,0,0
119408076,0,0,0,0,0,0,0,0,0
119408078,0,0,0,0,0,0,0,0,0
119408081,0,0,0,0,0,0,0,0,0
119408099,0,0,0,0,0,0,0,0,0
119408100,0,0,0,0,0,0,0,0,0
119408102,0,0,0,0,0,0,0,0,0
119408120,0,0,0,0,0,0,0,0,0
119408132,0,0,0,0,0,0,0,0,0
119408155,0,0,0,0,0,0,0,0,0
119409002,0,0,0,0,0,0,0,0,0
119409003,0,0,0,0,0,0,0,0,0
119409006,0,0,0,0,0,0,0,0,0
119409008,0,0,0,0,0,0,0,0,0
119409009,0,0,0,0,0,0,0,0,0
119409010,0,0,0,0,0,0,0,0,0
119409012,0,0,0,0,0,0,0,0,0
119409017,0,0,0,0,0,0,0,0,0
119409033,0,0,0,0,0,0,0,0,0
119409042,0,0,0,0,0,0,0,0,0
119409048,0,0,0,0,0,0,0,0,0
119409049,0,0,0,0,0,0,0,0,0
119409050,0,0,0,0,0,0,0,0,0
119409055,0,0,0,0,0,0,0,0,0
119409082,0,0,0,0,0,0,0,0,0
119409083,0,0,0,0,0,0,0,0,0
119409084,0,0,0,0,0,0,0,0,0
119409095,0,0,0,0,0,0,0,0,0
119409096,0,0,0,0,0,0,0,0,0
119409099,0,0,0,0,0,0,0,0,0
119409109,0,0,0,0,0,0,0,0,0
119409112,0,0,0,0,0,0,0,0,0
119409113,0,0,0,0,0,0,0,0,0
119409114,0,0,0,0,0,0,0,0,0
119409128,0,0,0,0,0,0,0,0,0
119409134,0,0,0,0,0,0,0,0,0
119409151,0,0,0,0,0,0,0,0,0
119409198,0,0,0,0,0,0,0,0,0
9405288,0,0,0,0,0,0,0,0,0
9405293,0,0,0,0,0,0,0,0,0
119410001,0,0,0,0,0,0,0,0,0
119410005,0,0,0,0,0,0,0,0,0
119410007,0,0,0,0,0,0,0,0,0
119410010,0,0,0,0,0,0,0,0,0
119410012,0,0,0,0,0,0,0,0,0
119410013,0,0,0,0,0,0,0,0,0
119410016,0,0,0,0,0,0,0,0,0
119410018,0,0,0,0,0,0,0,0,0
119410021,0,0,0,0,0,0,0,0,0
119410032,0,0,0,0,0,0,0,0,0
119410038,0,0,0,0,0,0,0,0,0
119410040,0,0,0,0,0,0,0,0,0
119410046,0,0,0,0,0,0,0,0,0
119410062,0,0,0,0,0,0,0,0,0
119410067,0,0,0,0,0,0,0,0,0
119410080,0,0,0,0,0,0,0,0,0
119410082,0,0,0,0,0,0,0,0,0
119410094,0,0,0,0,0,0,0,0,0
119410095,0,0,0,0,0,0,0,0,0
119410097,0,0,0,0,0,0,0,0,0
119410100,0,0,0,0,0,0,0,0,0
9405318,0,0,0,0,0,0,0,0,0
119410118,0,0,0,0,0,0,0,0,0
119410129,0,0,0,0,0,0,0,0,0
9405326,0,0,0,0,0,0,0,0,0
9405327,0,0,0,0,0,0,0,0,0
9405328,0,0,0,0,0,0,0,0,0
119410159,0,0,0,0,0,0,0,0,0
119410206,0,0,0,0,0,0,0,0,0
119410210,0,0,0,0,0,0,0,0,0
119410212,0,0,0,0,0,0,0,0,0
119410223,0,0,0,0,0,0,0,0,0
119410231,0,0,0,0,0,0,0,0,0
9405343,0,0,0,0,0,0,0,0,0
119410242,0,0,0,0,0,0,0,0,0
